IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,TRIAL_LABEL,block,coloridentifier,conditionidentifier,imagefile,quantidentifier,practicestatus,IP_START_TIME,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,REACTION_TIME,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,correctresponse,ACCURACY,KEY_PRESSED,RT,audiopred
2,Image,subj2,140,1,Trial: 140,4,blue,T,9_blue_7_yellow.jpg,more_than_half,experimental,20747696,1300,1127.63,20752558,411.5,445.4,.,726,20753058,481,827.7,j,1,j,7754,are_blue.wav
2,Image,subj2,141,0,Trial: 141,4,blue,T,13_blue_3_yellow.jpg,odd,experimental,20767685,1214,1042.41,20773434,221,560.3,.,887,20767730,471.1,348.9,j,1,j,5959,are_blue.wav
2,Image,subj2,142,0,Trial: 142,4,yellow,T,16_blue_0_yellow.jpg,No,experimental,20786653,1122,1071.5,20787840,575.1,349.4,.,1004,20786652,477.1,333.8,j,1,j,1196,are_yellow.wav
2,Image,subj2,143,0,Trial: 143,4,yellow,F,11_blue_5_yellow.jpg,Most,experimental,20800872,1116,1037.63,20801898,597.8,258.8,.,986,20801028,486.1,350,f,1,f,1027,are_yellow.wav
2,Image,subj2,144,0,Trial: 144,4,blue,T,7_blue_9_yellow.jpg,odd,experimental,20814655,1176,1012.11,20817330,560.9,288.2,.,844,20815224,377,194,j,1,j,2709,are_blue.wav
2,Image,subj2,145,0,Trial: 145,4,yellow,F,3_blue_13_yellow.jpg,even,experimental,20829357,1413,1117.17,20838874,293.5,467.3,.,762,20829592,515.2,380.2,f,1,f,10592,are_yellow.wav
2,Image,subj2,146,0,Trial: 146,4,yellow,F,10_blue_6_yellow.jpg,more_than_half,experimental,20856054,1302,1085.27,20859270,506.1,374.5,.,857,20856208,522,393.7,f,1,f,3704,are_yellow.wav
2,Image,subj2,147,0,Trial: 147,4,blue,T,12_blue_4_yellow.jpg,more_than_half,experimental,20872011,969,779.74,20873188,500.3,312.7,.,642,20872178,501.5,407.5,j,1,j,1182,are_blue.wav
2,Image,subj2,148,0,Trial: 148,4,blue,T,11_blue_5_yellow.jpg,odd,experimental,20885510,1223,1025.92,20890640,471.6,334.6,.,797,20886014,370,312.8,j,1,j,5211,are_blue.wav
2,Image,subj2,149,0,Trial: 149,4,blue,T,4_blue_12_yellow.jpg,Some,experimental,20903174,1000,875.66,20904292,504.3,386.4,.,772,20903178,520.3,390.8,j,1,j,1147,are_blue.wav
2,Image,subj2,150,0,Trial: 150,4,yellow,T,5_blue_11_yellow.jpg,Most,experimental,20917326,1159,1037.09,20918890,473.3,238.8,.,905,20917326,520.1,394.9,j,1,j,1589,are_yellow.wav
2,Image,subj2,151,0,Trial: 151,4,yellow,F,10_blue_6_yellow.jpg,No,experimental,20932044,867,743.81,20932882,485.5,386.2,.,683,20932344,490.2,376.4,f,1,f,836,are_yellow.wav
2,Image,subj2,152,0,Trial: 152,4,yellow,F,10_blue_6_yellow.jpg,least_7,experimental,20946915,1203,1034.94,20949834,479.8,343.4,.,853,20947480,686.9,335.9,f,1,f,3205,are_yellow.wav
2,Image,subj2,153,0,Trial: 153,4,blue,T,0_blue_16_yellow.jpg,No,experimental,20962974,1019,943.43,20963884,451.5,452.5,.,884,20962974,511,380.8,j,1,j,916,are_blue.wav
2,Image,subj2,154,0,Trial: 154,4,yellow,F,16_blue_0_yellow.jpg,Some,experimental,20978011,1130,989.82,20979956,477.7,341.1,.,841,20978010,503.8,396.3,f,1,f,1983,are_yellow.wav
2,Image,subj2,155,0,Trial: 155,4,yellow,T,3_blue_13_yellow.jpg,Most,experimental,20995558,1079,1023.42,20995884,526,359.6,.,962,20996208,446.3,227.2,j,1,j,1010,are_yellow.wav
2,Image,subj2,156,0,Trial: 156,4,blue,F,2_blue_14_yellow.jpg,All,experimental,21009541,1163,973.09,21011560,461.1,374.9,.,816,21010038,689.9,178,f,1,f,2019,are_blue.wav
2,Image,subj2,157,0,Trial: 157,4,blue,F,3_blue_13_yellow.jpg,even,experimental,21025080,1199,991.42,21027336,457.8,489.3,.,829,21025566,404.3,319.1,f,1,f,2697,are_blue.wav
2,Image,subj2,158,0,Trial: 158,4,yellow,T,6_blue_10_yellow.jpg,more_than_half,experimental,21043647,1028,890.36,21045228,588,255.2,.,776,21043884,526.7,377.7,j,1,j,1593,are_yellow.wav
2,Image,subj2,159,0,Trial: 159,4,yellow,T,6_blue_10_yellow.jpg,even,experimental,21059622,1153,936.51,21064078,428.1,300.8,.,547,21059816,492,336.3,j,1,j,4458,are_yellow.wav
2,Image,subj2,160,0,Trial: 160,4,blue,F,2_blue_14_yellow.jpg,Most,experimental,21076282,1050,892.69,21077590,608.3,260.6,.,784,21076282,531.9,385.3,f,1,f,1309,are_blue.wav
2,Image,subj2,161,0,Trial: 161,4,blue,F,4_blue_12_yellow.jpg,No,experimental,21090618,1045,945.64,21091976,519.8,385.6,.,890,21090878,445.8,353.5,f,1,f,1366,are_blue.wav
2,Image,subj2,162,0,Trial: 162,4,yellow,F,10_blue_6_yellow.jpg,All,experimental,21111927,1114,990.06,21113558,556.4,327.4,.,858,21112648,656.6,256.9,f,1,f,1992,are_yellow.wav
